film,IMDb ID,Genres
Dances With Wolves,tt0099348,"Adventure, Western, Drama"
Awakenings,tt0099077,"Biography, Drama"
Cyrano de Bergerac,tt0099334,"History, Drama, Comedy, Romance"
The Field,tt0099566,"Thriller, Drama"
Reversal of Fortune,tt0100486,"Biography, Mystery, Drama"
Longtime Companion,tt0100049,"Drama, Romance"
"The Godfather, Part III",tt0099674,"Crime, Drama"
Dick Tracy,tt0099422,"Comedy, Action, Crime, Thriller, Romance, Music"
Good Fellas,tt0099685,"Biography, Drama, Crime"
Misery,tt0100157,"Thriller, Drama"
The Grifters,tt0099703,"Crime, Drama, Thriller"
Pretty Woman,tt0100405,"Comedy, Romance"
Postcards from the Edge,tt0100395,"Drama, Comedy"
Mr. & Mrs. Bridge,tt0100200,Drama
Ghost,tt0099653,"Fantasy, Drama, Romance, Thriller"
Wild at Heart,tt0100935,"Crime, Drama, Thriller"
Hamlet,tt0116477,Drama
Avalon,tt13261268,Documentary
Henry & June,tt0099762,"Biography, Drama"
American Dream,tt1998389,"Drama, Mystery, Action, Crime, Thriller, Adventure"
Berkeley in the Sixties,tt0099121,"Documentary, History"
Building Bombs,tt0099185,Documentary
Forever Activists: Stories from the Veterans of the Abraham Lincoln Brigade,tt0099598,Documentary
Waldo Salt: A Screenwriter's Journey,tt0100900,"Biography, Documentary, History, Music"
Burning Down Tomorrow,tt0099191,"Documentary, Short"
Chimps: So Like Us,tt0099257,"Documentary, Short"
Days of Waiting,tt0099372,"Biography, Documentary, Short"
Journey into Life: The World of the Unborn,tt0099899,"Documentary, Short"
Rose Kennedy: A Life to Remember,tt0100517,"Documentary, Short"
The Hunt for Red October,tt0099810,"Adventure, Action, Thriller"
Journey of Hope,tt0100470,"Adventure, Drama"
Ju Dou,tt0099902,"Drama, Romance"
The Nasty Girl,tt0100557,"War, History, Drama, Comedy"
Open Doors,tt0100389,"Crime, Drama"
Edward Scissorhands,tt0099487,"Fantasy, Drama, Romance"
